issue,issue-sum,service,service-sum,agree,disagree,noidea,category1,category2,category3,category4
공공 안전,6264634930000.0,"묵2동 237-1~239-109간 하수관 정비(중랑구, 주민참여)",0,1,2,0,환경보호,상하수도ㆍ수질,하수도 관리(주민참여),하수관로 정비(주민참여-하수도사업특별회계)
공공 안전,6264634930000.0,한강공원 전망쉼터(카페) 운영 및 관리,219600000,2,3,0,환경보호,환경보호일반,한강공원 관리 및 운영,한강공원시설 관리 및 개선
공공 안전,6264634930000.0,한강공원 기전시설 유지관리,2120000000,2,2,0,환경보호,환경보호일반,한강공원 관리 및 운영,한강공원시설 관리 및 개선
공공 안전,6264634930000.0,여성마라톤대회 개최,70000000,1,3,1,사회복지,보육ㆍ가족및여성,양성평등 및 여성복지증진,여성의 사회참여 확대
공공 안전,6264634930000.0,독거어르신 콩나물 기르기 사업(주민참여),0,0,3,0,사회복지,노인ㆍ청소년,어르신복지 수준향상 및 장사시설 운영 내실화,독거·재가어르신 종합서비스 확대
공공 안전,6264634930000.0,구조 및 응급처치 교육,1905000000,2,1,1,보건,보건의료,공공보건· 의료분야 대시민 서비스 수준 향상,지역보건 의료기능 강화
공공 안전,6264634930000.0,영유아 및 생애전환기 건강검진,317031000,4,2,0,보건,보건의료,시민건강수준 향상,"노인, 모자보건 서비스 확충"
공공 안전,6264634930000.0,장지근린공원(송파) 조성,0,0,2,0,국토및지역개발,지역및도시,생활권 공원확충,미집행 공원조성
공공 안전,6264634930000.0,65세이상 노인환자 원외약국 약제비 지원,201600000,1,1,0,보건,보건의료,시민건강수준 향상,취약계층에 대한 보건의료 지원
공공 안전,6264634930000.0,광화문 희망나눔장터 운영,487550000,1,3,0,환경보호,폐기물,효율적인 폐기물처리,생활폐기물 재활용 극대화
공공 안전,6264634930000.0,저소득층 임대아파트 음식물쓰레기 계량화 시스템구축 지원(주민참여),88000000,2,2,0,환경보호,폐기물,클린도시 조성,음식폐기물 감량 및 안정적처리 기반 구축
공공 안전,6264634930000.0,시민안전교육 강화,430925000,2,0,0,공공질서및안전,소방,소방재난능력의 향상으로 안정적인 재난시스템 구축,재난교육 및 훈련
공공 안전,6264634930000.0,자치구 건강가정지원센터 운영 지원,2196190000.0,1,2,0,사회복지,보육ㆍ가족및여성,행복한 가족만들기 및 아동복지 증진,건강한 가정 조성지원 확대
공공 안전,6264634930000.0,도시공간정보센터 구축,194850000,0,2,1,일반공공행정,일반행정,도시기반시스템 고도화,공간정보 통합관리
공공 안전,6264634930000.0,학생 및 아동 치과주치의,1505000000,3,1,0,보건,보건의료,시민건강수준 향상,건강생활 기반 조성
공공 안전,6264634930000.0,서울 글로벌 마케팅,4340000000.0,0,1,0,문화및관광,관광,서울만의 특화관광자원을 활용한 서울관광 활성화,전략적 해외 마케팅
공공 안전,6264634930000.0,기본경비,74385000,0,1,2,기타,기타,행정운영경비(평생교육정책관 청소년담당관),기본경비
공공 안전,6264634930000.0,ANMC21 총회 및 도시홍보전 참가,0,0,4,0,산업ㆍ중소기업,무역및투자유치,국제교류협력 추진,세계 대도시와의 교류협력
공공 안전,6264634930000.0,공공도서관 책 소독기 및 장애인 보조기 설치(주민참여),0,1,1,0,문화및관광,문화예술,도서관 및 독서문화 진흥,도서관 시설확충
공공 안전,6264634930000.0,수색동 293번지 일대 도시계획적 활용방안 수립,100000000,1,2,1,국토및지역개발,지역및도시,도시 발전기반 제고,도시계획 시설정비
공공 안전,6264634930000.0,행정장비 및 사업용장비 구매,70244000,3,2,0,국토및지역개발,지역및도시,남산의 입체적 개발을 통한 서울의 대표공원화,남산 및 산하공원 운영
공공 안전,6264634930000.0,영유아 보육료(보조),588128800000.0,1,1,0,사회복지,보육ㆍ가족및여성,안심하고 맡길수 있는 보육환경 개선,보육서비스 지원 확대
공공 안전,6264634930000.0,"1:1,000 수치지형도 갱신사업",1240000000,1,3,0,일반공공행정,일반행정,도시기반시스템 고도화,GIS 운영시스템
공공 안전,6264634930000.0,북악스카이웨이1교 보강공사,4540000000.0,2,0,1,수송및교통,도로,교량관리,일반교량관리
공공 안전,6264634930000.0,"은평뉴타운 실개천 편의시설 조성(은평구, 주민참여)",180000000,1,1,0,환경보호,상하수도ㆍ수질,깨끗한 물관리,물환경개선 및 관리
공공 안전,6264634930000.0,대방동 5-24~14-9간 하수관로 보수보강,0,2,0,0,환경보호,상하수도ㆍ수질,하수시설 관리,하수관로 보수보강
공공 안전,6264634930000.0,U-도서관 접근성 개선(주민참여),0,3,0,0,문화및관광,문화예술,도서관 및 독서문화 진흥,도서관 시설확충
공공 안전,6264634930000.0,장미원 유지관리,104600000,2,3,0,국토및지역개발,지역및도시,공원이용시민 만족도 향상,다양한 축제 및 볼거리 프로그램 운영
공공 안전,6264634930000.0,가로수생육환경 개선 및 가로변 녹지량 확충,11544512000.0,2,0,0,국토및지역개발,지역및도시,생활주변 녹지확충,녹지보전 강화
공공 안전,6264634930000.0,도시형 제조업 인식 제고,0,1,3,0,산업ㆍ중소기업,산업진흥ㆍ고도화,활력이 넘치는 경제 환경 구축,기업활동 지원체계 구축
공공 안전,6264634930000.0,유해약물 안전관리,60000000,4,0,1,보건,보건의료,공공보건· 의료분야 대시민 서비스 수준 향상,지역보건 의료기능 강화
공공 안전,6264634930000.0,생물다양성 탐사,80000000,1,1,0,환경보호,자연,생태계 복원 및 보전과 야생동식물 보호,야생동식물 보호사업
공공 안전,6264634930000.0,임대산업부지 활용 기본계획 수립 연구용역,0,0,3,2,산업ㆍ중소기업,산업진흥ㆍ고도화,활력이 넘치는 경제 환경 구축,기업활동 지원체계 구축
공공 안전,6264634930000.0,사회문제 해결을 위한 혁신형 사업,1050000000,1,3,0,사회복지,사회복지일반,사회적경제 생태계 조성,지역사회중심의 사회적경제조직 발굴 및 육성
